registry_id	ligand	receptor	ligand_entity_type	receptor_entity_type	ligand_components	receptor_components	source_methods	source_resources	source_databases	source_record_ids	pathway_labels	interaction_annotations	evidence_notes	cofactor_annotations	species_scope	direct_lr_candidate
LRREG_005857	Pcdha2	Itgb1	gene	gene	Pcdha2	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005858	Pcdha2	Pcdha2	gene	gene	Pcdha2	Pcdha2	cellchat	CellChatDB.mouse		PCDHA2_PCDHA2	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005859	Pcdha2	Pcdhga1	gene	gene	Pcdha2	Pcdhga1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005860	Pcdha2	Pcdhga10	gene	gene	Pcdha2	Pcdhga10	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005861	Pcdha2	Pcdhga11	gene	gene	Pcdha2	Pcdhga11	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005862	Pcdha2	Pcdhga12	gene	gene	Pcdha2	Pcdhga12	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005863	Pcdha2	Pcdhga2	gene	gene	Pcdha2	Pcdhga2	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005864	Pcdha2	Pcdhga3	gene	gene	Pcdha2	Pcdhga3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005865	Pcdha2	Pcdhga4	gene	gene	Pcdha2	Pcdhga4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005866	Pcdha2	Pcdhga5	gene	gene	Pcdha2	Pcdhga5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005867	Pcdha2	Pcdhga6	gene	gene	Pcdha2	Pcdhga6	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005868	Pcdha2	Pcdhga7	gene	gene	Pcdha2	Pcdhga7	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005869	Pcdha2	Pcdhga8	gene	gene	Pcdha2	Pcdhga8	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005870	Pcdha2	Pcdhga9	gene	gene	Pcdha2	Pcdhga9	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005871	Pcdha2	Pcdhgb1	gene	gene	Pcdha2	Pcdhgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005872	Pcdha2	Pcdhgb2	gene	gene	Pcdha2	Pcdhgb2	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005873	Pcdha2	Pcdhgb4	gene	gene	Pcdha2	Pcdhgb4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005874	Pcdha2	Pcdhgb5	gene	gene	Pcdha2	Pcdhgb5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005875	Pcdha2	Pcdhgb6	gene	gene	Pcdha2	Pcdhgb6	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005876	Pcdha2	Pcdhgb7	gene	gene	Pcdha2	Pcdhgb7	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005877	Pcdha2	Pcdhgb8	gene	gene	Pcdha2	Pcdhgb8	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005878	Pcdha2	Pcdhgc3	gene	gene	Pcdha2	Pcdhgc3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005879	Pcdha2	Pcdhgc4	gene	gene	Pcdha2	Pcdhgc4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005880	Pcdha2	Pcdhgc5	gene	gene	Pcdha2	Pcdhgc5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005881	Pcdha3	Itgb1	gene	gene	Pcdha3	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005882	Pcdha3	Pcdha3	gene	gene	Pcdha3	Pcdha3	cellchat	CellChatDB.mouse		PCDHA3_PCDHA3	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005883	Pcdha4	Itgb1	gene	gene	Pcdha4	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005884	Pcdha4	Pcdha4	gene	gene	Pcdha4	Pcdha4	cellchat	CellChatDB.mouse		PCDHA4_PCDHA4	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005885	Pcdha4b	Pcdha4	gene	gene	Pcdha4b	Pcdha4	cellchat	CellChatDB.mouse		PCDHA4B_PCDHA4	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
