tf_key	display_symbols	species_scopes	source_registries	reported_contributor_labels	human_current_sets	mouse_current_sets	vertebrate_profile_current_sets	human_status	mouse_status	vertebrate_profile_status	current_entity_ids	species_scope_count	current_any_species	new_species_scopes	dedupe_status	notes
wdr43	Wdr43	mouse	TFLink						new_candidate			1	false	mouse	new_candidate	
wdr5	WDR5;Wdr5	human;mouse	TFLink;TRRUST	TRRUST				existing_public_pair_union	new_candidate			2	false	mouse	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
whsc1	WHSC1	human	TRRUST	TRRUST				existing_public_pair_union				1	false		existing_or_canonical	
whsc1l1	Whsc1l1	mouse	TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
wiz	WIZ;Wiz	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
wnt1	Wnt1	mouse	TFLink;TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
wnt5a	Wnt5a	mouse	TFLink;TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
wrn	WRN	human	TFLink					new_candidate				1	false	human	new_candidate	
wrnip1	WRNIP1	human	TFLink					new_candidate				1	false	human	new_candidate	
wt1	WT1;Wt1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2				existing_public_pair_union	existing_public_pair_union	new_candidate		3	false	vertebrates	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
wwp1	WWP1;Wwp1	human;mouse	TFLink;TRRUST	TRRUST				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
wwtr1	WWTR1;Wwtr1	human;mouse	TFLink;TRRUST	TRRUST				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
xbp1	XBP1;Xbp1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink;TRRUST	TRRUST				existing_public_pair_union	existing_public_pair_union	new_candidate		3	false	vertebrates	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
xpa	XPA;Xpa	human;mouse	AnimalTFDB3;Lambert_HumanTFs					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
xpc	XPC;Xpc	human;mouse	TFLink;TRRUST	TRRUST				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
xrcc3	XRCC3	human	TFLink					new_candidate				1	false	human	new_candidate	
xrcc4	XRCC4	human	TFLink					new_candidate				1	false	human	new_candidate	
xrcc5	XRCC5;Xrcc5	human;mouse	TFLink;TRRUST	TRRUST				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
xrcc6	XRCC6;Xrcc6	human;mouse	TFLink;TRRUST	TRRUST				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
xrn2	XRN2	human	TFLink					new_candidate				1	false	human	new_candidate	
yap1	YAP1;Yap1	human;mouse	TFLink					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
ybx1	YBX1;Ybx1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
ybx2	YBX2;Ybx2	human;mouse	AnimalTFDB3;Lambert_HumanTFs					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
ybx3	YBX3;Ybx3	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
yeats4	YEATS4;Yeats4	human;mouse	AnimalTFDB3;TFLink;TRRUST	TRRUST				existing_public_pair_union	new_candidate			2	false	mouse	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
