pair_key	pair_label_canonical	cellchat_status	module20a_status	review_id	current_confidence	prior_notes
ra-aldh1a3 rxrb_crabp2	RA-ALDH1A3 RXRB_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ra-aldh1a3 rxrg_crabp2	RA-ALDH1A3 RXRG_CRABP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
raet1a klrk1	Raet1a Klrk1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
raet1a nkg2d_hcst	Raet1a NKG2D_HCST	cellchat_full	no		unreviewed	not_in_module20a_review_queue
raet1b nkg2d_hcst	Raet1b NKG2D_HCST	cellchat_full	no		unreviewed	not_in_module20a_review_queue
raet1c nkg2d_hcst	Raet1c NKG2D_HCST	cellchat_full	no		unreviewed	not_in_module20a_review_queue
raet1d nkg2d_hcst	Raet1d NKG2D_HCST	cellchat_full	no		unreviewed	not_in_module20a_review_queue
raet1e nkg2d_hcst	Raet1e NKG2D_HCST	cellchat_full	no		unreviewed	not_in_module20a_review_queue
rarres2 cmklr2	Rarres2 Cmklr2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
rtn4r adgrb1	Rtn4r Adgrb1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sct sctr	Sct Sctr	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sdc1 adgra2	Sdc1 Adgra2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sdc2 adgra2	Sdc2 Adgra2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sell cd34	Sell Cd34	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sell glycam1	Sell Glycam1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sell madcam1	Sell Madcam1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sell podxl	Sell Podxl	cellchat_full	no		unreviewed	not_in_module20a_review_queue
selplg sele	Selplg Sele	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sema3c nrp1_nrp2	Sema3c NRP1_NRP2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sema3c plxnd1	Sema3c Plxnd1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sema4a plxnb2	Sema4a Plxnb2	cellchat_full	yes	M20A-LIANA-REMAINING-0215	uncertain	Remaining LIANA pair searched in bounded exact-pair and expanded-family pass. Expanded search verdict=needs_manual_review.
sema4a plxnb3	Sema4a Plxnb3	cellchat_full	yes	M20A-LIANA-REMAINING-0216	uncertain	Remaining LIANA pair searched in bounded exact-pair and expanded-family pass. Expanded search verdict=needs_manual_review.
sema4a timd2	Sema4a Timd2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sema6d plxna1	Sema6d Plxna1	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
sema6d plxna1_kdr	Sema6d PLXNA1_KDR	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sema6d plxna1_trem2	Sema6d PLXNA1_TREM2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sema7a itgb1_itga1	Sema7a ITGB1_ITGA1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sftpd adgre5	Sftpd Adgre5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
siglec1 spn	Siglec1 Spn	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sirpb1a cd47	Sirpb1a Cd47	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sirpb1b cd47	Sirpb1b Cd47	cellchat_full	no		unreviewed	not_in_module20a_review_queue
sirpb1c cd47	Sirpb1c Cd47	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrna1	Slurp1 Chrna1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrna2	Slurp1 Chrna2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrna5	Slurp1 Chrna5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrna6	Slurp1 Chrna6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrnb1	Slurp1 Chrnb1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrnb3	Slurp1 Chrnb3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrnd	Slurp1 Chrnd	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrne	Slurp1 Chrne	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp1 chrng	Slurp1 Chrng	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna1	Slurp2 Chrna1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna10	Slurp2 Chrna10	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna2	Slurp2 Chrna2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna3	Slurp2 Chrna3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna4	Slurp2 Chrna4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna5	Slurp2 Chrna5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna6	Slurp2 Chrna6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna7	Slurp2 Chrna7	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrna9	Slurp2 Chrna9	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrnb1	Slurp2 Chrnb1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrnb2	Slurp2 Chrnb2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrnb3	Slurp2 Chrnb3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrnb4	Slurp2 Chrnb4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrnd	Slurp2 Chrnd	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrne	Slurp2 Chrne	cellchat_full	no		unreviewed	not_in_module20a_review_queue
slurp2 chrng	Slurp2 Chrng	cellchat_full	no		unreviewed	not_in_module20a_review_queue
t3-dio3 thra	T3-DIO3 Thra	cellchat_full	no		unreviewed	not_in_module20a_review_queue
t3-dio3 thrb	T3-DIO3 Thrb	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tac4 tacr1	Tac4 Tacr1	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
tafa4 fpr1	Tafa4 Fpr1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tax1bp3 adgrb1	Tax1bp3 Adgrb1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tax1bp3 adgrb2	Tax1bp3 Adgrb2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm1 adgrl1	Tenm1 Adgrl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm1 adgrl2	Tenm1 Adgrl2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm1 adgrl3	Tenm1 Adgrl3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm2 adgrl1	Tenm2 Adgrl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm2 adgrl2	Tenm2 Adgrl2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm2 adgrl3	Tenm2 Adgrl3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm2_flrt1 adgrl1	TENM2_FLRT1 Adgrl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm2_flrt3 adgrl1	TENM2_FLRT3 Adgrl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm2_flrt3 adgrl2	TENM2_FLRT3 Adgrl2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm3 adgrl1	Tenm3 Adgrl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm3 adgrl2	Tenm3 Adgrl2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm3 adgrl3	Tenm3 Adgrl3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm3_flrt1 adgrl3	TENM3_FLRT1 Adgrl3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm3_flrt3 adgrl3	TENM3_FLRT3 Adgrl3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm4 adgrl1	Tenm4 Adgrl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
tenm4 adgrl2	Tenm4 Adgrl2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
